Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency
2021-02-12 23:59:33.902000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,200.0,,
2021-02-24 18:04:30.118000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,203.31,,
2021-03-09 20:44:28.365000,deposits,Sepa Deposit,,,,EUR,,,20.0,,,,107.38,,
2021-03-09 21:33:56.639000,deposits,Sepa Deposit,,,,EUR,,,50.0,,,,54.98,,
2021-03-17 10:24:55.362000,deposits,Sepa Deposit,,,,EUR,,,300.0,,,,309.76,,
2021-03-22 12:42:36.340000,deposits,Sepa Deposit,,,,EUR,,,100.0,,,,101.99,,
2021-03-22 16:11:26.385000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,508.91,,
2021-03-23 14:28:03.245000,deposits,Sepa Deposit,,,,EUR,,,100.0,,,,132.81,,
2021-03-23 14:29:26.435000,deposits,Sepa Deposit,,,,EUR,,,50.0,,,,182.81,,
2021-03-24 17:20:39.724000,deposits,Sepa Deposit,,,,EUR,,,600.0,,,,600.62,,
2021-03-31 15:37:47.595000,deposits,Sepa Deposit,,,,EUR,,,30.0,,,,122.0,,
2021-03-31 18:18:56.461000,deposits,Sepa Deposit,,,,EUR,,,150.0,,,,178.82,,
2021-04-06 15:32:54.077000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,261.52,,
2021-04-08 16:38:40.806000,deposits,Sepa Deposit,,,,EUR,,,50.0,,,,89.72,,
2021-04-13 21:02:47.475000,deposits,Sepa Deposit,,,,EUR,,,450.0,,,,451.26,,
2021-04-14 21:15:22.873000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,610.14,,
2021-04-15 17:59:49.357000,deposits,Sepa Deposit,,,,EUR,,,20.0,,,,76.04,,
2021-05-05 21:12:41.067000,deposits,Sepa Deposit,,,,EUR,,,80.0,,,,83.39,,
2021-08-13 19:07:00.522000,deposits,Sepa Deposit,,,,EUR,,,5.0,,,,336.9,,
2021-08-18 16:03:00.093000,deposits,Sepa Deposit,,,,EUR,,,5.0,,,,588.8,,
2021-08-18 17:18:49.448000,deposits,Sepa Deposit,,,,EUR,,,15.0,,,,311.12,,
2021-09-14 16:25:45.214000,deposits,Sepa Deposit,,,,EUR,,,50.0,,,,111.3,,
2021-09-24 18:11:01.204000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,507.69,,
2021-09-28 17:16:14.176000,deposits,Sepa Deposit,,,,EUR,,,2000.0,,,,2135.01,,
2021-10-18 19:31:43.542000,deposits,Sepa Deposit,,,,EUR,,,10.0,,,,130.32,,
2021-11-24 20:16:41.350000,deposits,Sepa Deposit,,,,EUR,,,20.0,,,,104.27,,
2022-01-10 18:13:15.586000,deposits,Sepa Deposit,,,,EUR,,,210.0,,,,211.82,,
2022-01-24 10:36:21.443000,deposits,Sepa Deposit,,,,EUR,,,20.0,,,,1243.2,,
2022-02-15 17:30:06.409000,deposits,Sepa Deposit,,,,EUR,,,120.0,,,,120.93,,
2022-05-11 15:59:31.651000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,216.93,,
2022-07-25 21:18:02.103000,deposits,Sepa Deposit,,,,EUR,,,70.0,,,,76.29,,
2022-07-28 21:39:32.213000,deposits,Sepa Deposit,,,,EUR,,,1000.0,,,,1000.0,,
2022-08-19 17:10:41.508000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,202.69,,
2022-08-24 16:16:29.498000,deposits,Sepa Deposit,,,,EUR,,,1000.0,,,,1000.0,,
2022-08-25 15:41:51.528000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.0,,
2022-09-23 15:35:43.597000,deposits,Sepa Deposit,,,,EUR,,,700.0,,,,701.64,,
2022-10-26 17:29:33.276000,deposits,Sepa Deposit,,,,EUR,,,400.0,,,,400.08,,
2022-10-26 17:32:40.722000,deposits,Sepa Deposit,,,,EUR,,,100.0,,,,100.0,,
2022-11-21 15:34:02.258000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,203.73,,
2023-02-20 16:08:36.316000,deposits,Sepa Deposit,,,,EUR,,,300.0,,,,304.84,,
2023-02-21 15:19:46.541000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,804.84,,
2023-02-21 15:50:59.152000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.0,,
2023-04-24 15:33:41.071000,deposits,Sepa Deposit,,,,EUR,,,260.0,,,,261.12,,
2023-05-02 16:08:39.772000,deposits,Sepa Deposit,,,,EUR,,,250.0,,,,250.0,,
2023-08-31 20:53:33.406000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,503.73,,
2023-08-31 20:54:30.704000,deposits,Sepa Deposit,,,,EUR,,,200.0,,,,200.0,,
2023-09-01 16:23:46.362000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.0,,
2023-09-01 18:54:28.313000,deposits,Sepa Deposit,,,,EUR,,,100.0,,,,100.0,,
2023-09-28 17:37:58.447000,deposits,Sepa Deposit,,,,EUR,,,100.0,,,,101.57,,
2024-02-16 17:38:37.624000,deposits,Sepa Deposit,,,,EUR,,,150.0,,,,151.02,,
2024-06-06 16:31:15.102000,deposits,Sepa Deposit,,,,EUR,,,500.0,,,,500.85,,
