Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency
2024-02-16 17:38:59.678000,trades,Buy Trade,US0420682058,Arm,USD,EUR,EURUSD,1.07455,-118.41,127.24,127.24,1,26.63,,
2024-04-08 17:01:24.624000,trades,Sell Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08794,115.26,125.4,125.4,1.000000,134.01,52.08,EUR
2024-04-08 17:01:24.658000,trades,Sell Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08794,68.22,74.219244,125.4,0.591860,202.23,30.82,EUR
2024-04-08 17:07:43.143000,trades,Sell Trade,US0420682058,Arm,USD,EUR,EURUSD,1.08837,116.15,126.41,126.41,1,117.39,-2.26,EUR
2024-04-08 17:08:50.911000,trades,Buy Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08292,-115.44,125.01,125.01,1.000000,1.95,,
2024-04-08 17:08:50.912000,trades,Buy Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08292,-0.96,1.0413333,125.01,0.008334,0.0,,
2024-04-08 17:09:16.974000,trades,Sell Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08845,114.88,125.04,125.04,1.000000,114.88,-0.56,EUR
2024-04-08 17:09:16.975000,trades,Sell Trade,US5951121038,Micron,USD,EUR,EURUSD,1.08845,0.96,1.0415832,125.04,0.008334,115.84,0.0,EUR
2024-06-06 16:31:51.595000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08462,-479.81,520.41,173.47,3.000000,21.04,,
2024-06-06 16:31:51.637000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08462,-20.05,21.7479339,173.47,0.125371,0.0,,
2024-10-09 21:00:36.619000,trades,Sell Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.0965,759.8,833.125,166.625,5,761.89,319.51,EUR
2024-10-09 21:00:36.661000,trades,Sell Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.0965,42.05,46.10347125,166.625,0.276688,793.98,17.69,EUR
2024-10-11 20:01:07.601000,trades,Sell Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.09702,323.26,354.62,177.31,2,324.24,147.14,EUR
2024-10-11 20:01:07.660000,trades,Sell Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.09702,103.17,113.1840654,177.31,0.638344,426.42,46.96,EUR
