Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency
2023-02-21 15:20:04.417000,trades,Buy Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,-402.42,402.422574,597.9,0.673055,402.42,,
2023-02-21 15:49:27.931000,trades,Buy Trade,US5949181045,Microsoft,USD,EUR,EURUSD,1.06086,-240.11,254.72,254.72,1.000000,160.81,,
2023-02-21 15:49:27.956000,trades,Buy Trade,US5949181045,Microsoft,USD,EUR,EURUSD,1.06086,-160.81,170.59872,254.72,0.669754,0.0,,
2023-02-21 15:51:10.371000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.06103,-387.77,411.44,205.72,2.000000,112.23,,
2023-02-21 15:51:10.398000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.06103,-112.23,119.0748504,205.72,0.578820,0.0,,
2023-04-24 15:33:50.504000,trades,Buy Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,-259.13,259.130286,578.7,0.447779,1.99,,
2023-05-02 16:09:34.374000,trades,Buy Trade,US62914V1061,NIO,USD,EUR,EURUSD,1.09351,-68.31,74.7,7.47,10,178.7,,
2023-05-02 16:09:45.982000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.09339,-149.06,162.98,162.98,1.000000,28.65,,
2023-05-02 16:09:46.011000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.09339,-27.66,30.2441986,162.98,0.185568,0.0,,
2023-08-31 20:53:50.078000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08205,-477.65,516.84,258.42,2.000000,26.08,,
2023-08-31 20:53:50.121000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.08205,-25.09,27.1496052,258.42,0.105060,0.0,,
2023-08-31 20:54:42.958000,trades,Buy Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.08204,-146.83,158.88,79.44,2.000000,53.17,,
2023-08-31 20:54:43.011000,trades,Buy Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.08204,-52.18,56.4564192,79.44,0.710684,0.0,,
2023-09-01 16:24:06.744000,trades,Buy Trade,US0378331005,Apple,USD,EUR,EURUSD,1.07945,-175.21,189.13,189.13,1.000000,324.79,,
2023-09-01 16:24:06.745000,trades,Buy Trade,US0378331005,Apple,USD,EUR,EURUSD,1.07945,-74.79,80.7320318,189.13,0.426862,249.01,,
2023-09-01 16:26:31.695000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.07925,-233.49,251.99,251.99,1.000000,15.52,,
2023-09-01 16:26:31.696000,trades,Buy Trade,US88160R1014,Tesla,USD,EUR,EURUSD,1.07925,-14.53,15.6863775,251.99,0.062246,0.0,,
2023-09-01 18:55:22.826000,trades,Buy Trade,US60741F1049,Mobileye,USD,EUR,EURUSD,1.07574,-68.25,73.42,36.71,2,31.75,,
2023-09-14 19:10:38.943000,trades,Sell Trade,US67066G1040,NVIDIA,USD,EUR,EURUSD,1.06733,852.58,909.98,454.99,2.000000,879.71,496.76,EUR
2023-09-14 19:10:38.992000,trades,Sell Trade,US67066G1040,NVIDIA,USD,EUR,EURUSD,1.06733,289.18,308.6515663,454.99,0.678372,1168.89,168.49,EUR
2023-09-14 19:10:52.623000,trades,Sell Trade,US62914V1061,NIO,USD,EUR,EURUSD,1.06737,96.22,102.7,10.27,10,1264.12,27.91,EUR
2023-09-14 19:12:10.075000,trades,Sell Trade,US60741F1049,Mobileye,USD,EUR,EURUSD,1.06737,67.04,71.56,35.78,2,1330.17,-1.21,EUR
2023-09-14 19:38:37.543000,trades,Sell Trade,US0079031078,AMD,USD,EUR,EURUSD,1.0665,301.6,321.66,107.22,3.000000,301.77,61.04,EUR
2023-09-14 19:38:37.594000,trades,Sell Trade,US0079031078,AMD,USD,EUR,EURUSD,1.0665,48.72,51.9523788,107.22,0.484537,349.5,9.87,EUR
2023-09-14 19:39:49.858000,trades,Sell Trade,US0378331005,Apple,USD,EUR,EURUSD,1.0665,494.99,527.91,175.97,3.000000,843.5,-7.19,EUR
2023-09-14 19:39:49.859000,trades,Sell Trade,US0378331005,Apple,USD,EUR,EURUSD,1.0665,150.16,160.1397388,175.97,0.910041,993.66,-2.17,EUR
2023-09-14 19:40:03.621000,trades,Sell Trade,US4581401001,Intel,USD,EUR,EURUSD,1.06651,109.17,116.43,38.81,3.000000,1101.84,26.39,EUR
2023-09-14 19:40:03.666000,trades,Sell Trade,US4581401001,Intel,USD,EUR,EURUSD,1.06651,22.72,24.2279187,38.81,0.624268,1124.56,5.5,EUR
2023-09-14 19:40:19.481000,trades,Sell Trade,US5949181045,Microsoft,USD,EUR,EURUSD,1.06643,318.64,339.81,339.81,1.000000,1442.21,78.53,EUR
2023-09-14 19:40:19.528000,trades,Sell Trade,US5949181045,Microsoft,USD,EUR,EURUSD,1.06643,213.41,227.5877475,339.81,0.669754,1655.62,52.6,EUR
2023-09-28 17:38:12.777000,trades,Buy Trade,US5951121038,Micron,USD,EUR,EURUSD,1.05454,-63.18,66.63,66.63,1.000000,38.39,,
2023-09-28 17:38:12.778000,trades,Buy Trade,US5951121038,Micron,USD,EUR,EURUSD,1.05454,-37.4,39.4356318,66.63,0.591860,0.0,,
