Transaction Time (CET),Transaction Category,Transaction Type,Asset Id,Asset Name,Asset Currency,Transaction Currency,Currency Pair,Exchange Rate,Transaction Amount,Trade Amount,Trade Price,Trade Quantity,Cash Balance Amount,Profit And Loss Amount,Profit And Loss Currency
2022-01-10 18:13:37.440000,trades,Buy Trade,US60770K1079,Moderna,USD,EUR,EURUSD,1.13073,-203.75,230.39,230.39,1,8.07,,
2022-01-13 16:00:50.411000,trades,Sell Trade,US60770K1079,Moderna,USD,EUR,EURUSD,1.14959,373.28,429.12,214.56,2,381.35,-42.66,EUR
2022-01-13 16:00:55.019000,trades,Sell Trade,US7710491033,Roblox,USD,EUR,EURUSD,1.14957,151.41,174.06,87.03,2,532.76,-23.47,EUR
2022-01-13 16:01:10.745000,trades,Buy Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.14493,-417.35,477.84,238.92,2,115.41,,
2022-01-13 16:01:45.883000,trades,Buy Trade,US7710491033,Roblox,USD,EUR,EURUSD,1.14466,-75.97,86.96,86.96,1,39.44,,
2022-01-13 16:02:06.512000,trades,Buy Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.14465,-30.0,34.3398396,238.67,0.143878,9.44,,
2022-01-20 16:50:46.766000,trades,Sell Trade,US7710491033,Roblox,USD,EUR,EURUSD,1.13729,70.36,80.02,80.02,1,79.8,-5.61,EUR
2022-01-20 16:50:58.043000,trades,Buy Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.13269,-79.0,89.4831424,230.96,0.387437,0.8,,
2022-01-24 10:33:15.940000,trades,Sell Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,1223.4,1223.4,611.7,2,1224.2,-113.2,EUR
2022-01-24 10:36:42.697000,trades,Buy Trade,4754ff8a-3ddc-4441-93ac-909b39af5a6e,,EUR,EUR,EUREUR,1.0,-1224.0,1224.0,612.0,2,19.2,,
2022-01-24 15:31:25.314000,trades,Sell Trade,US19260Q1076,Coinbase,USD,EUR,EURUSD,1.132,301.5,341.3,170.65,2,319.7,-114.37,EUR
2022-01-24 15:32:58.628000,trades,Buy Trade,4754ff8a-3ddc-4441-93ac-909b39af5a6e,,USD,EUR,EURUSD,1.12752,-306.6,345.7,172.85,2,13.1,,
2022-01-25 15:33:16.043000,trades,Sell Trade,NL0010273215,ASML,EUR,EUR,EUREUR,1.0,1155.4,1155.4,577.7,2,1167.5,-68.6,EUR
2022-01-25 15:33:30.351000,trades,Buy Trade,4754ff8a-3ddc-4441-93ac-909b39af5a6e,,USD,EUR,EURUSD,1.12415,-1028.94,1156.68,385.56,3,138.56,,
2022-01-25 15:34:55.299000,trades,Buy Trade,4754ff8a-3ddc-4441-93ac-909b39af5a6e,,USD,EUR,EURUSD,1.12406,-136.51,153.45,17.05,9,2.05,,
2022-01-28 21:47:54.048000,trades,Sell Trade,US50077B2079,Kratos Defense & Security Solutions,USD,EUR,EURUSD,1.11735,130.25,145.53,16.17,9,132.3,-6.26,EUR
